"date","book_title","author","publisher","category","this_week_position","last_week_position","total_weeks","full_text"
2025-08-17,"A MARRIAGE AT SEA","Sophie Elmhirst","Riverhead.","Nonfiction",15,9,4,"15      A MARRIAGE AT SEA, by Sophie Elmhirst. (Riverhead.) In 1972, an incident with a            9        4 breaching whale turns a couple’s dream of sailing on a boat into a monthslong struggle for survival on a raft. Hawes Publications                                                                                    www.hawes.com"
2025-08-24,"THE FALLEN & THE KISS OF DUSK","Carissa Broadbent","Bramble.","Fiction",1,NA,1,"1       THE FALLEN & THE KISS OF DUSK, by Carissa Broadbent. (Bramble.) The fourth                --       1 book in the Crowns of Nyaxia series and second book of the Shadowborn Duet."
2025-08-24,"SCARRED","Emily McIntire","Bloom.","Fiction",2,NA,1,"2       SCARRED, by Emily McIntire. (Bloom.) The second book in the Never After series.           --       1 Lady Sara Beatreaux develops an attraction for one of the men she intended to kill."
2025-08-24,"ATMOSPHERE","Taylor Jenkins Reid","Ballantine.","Fiction",3,1,10,"3       ATMOSPHERE, by Taylor Jenkins Reid. (Ballantine.) In the summer of 1980, Joan             1        10 Goodwin begins training with a group of candidates for NASA’s space shuttle program."
2025-08-24,"NOT QUITE DEAD YET","Holly Jackson","Bantam.","Fiction",4,2,3,"4       NOT QUITE DEAD YET, by Holly Jackson. (Bantam.) With only a week left to live             2        3 after a violent attack on Halloween, Jet Mason is determined to solve her own murder."
2025-08-24,"ONYX STORM","Rebecca Yarros","Red Tower.","Fiction",5,7,29,"5       ONYX STORM, by Rebecca Yarros. (Red Tower.) The third book in the Empyrean                7        29 series. As enemies gain traction, Violet Sorrengail goes beyond the Aretian wards in search of allies."
2025-08-24,"MY FRIENDS","Fredrik Backman","Atria.","Fiction",6,6,14,"6       MY FRIENDS, by Fredrik Backman. (Atria.) A young woman looks into the story               6        14 behind a painting that was made 25 years ago and a small group of teens depicted in it; translated by Neil Smith."
2025-08-24,"BROKEN COUNTRY","Clare Leslie Hall","Simon & Schuster.","Fiction",7,12,20,"7       BROKEN COUNTRY, by Clare Leslie Hall. (Simon & Schuster.) Beth must confront              12       20 her past when the man she once loved as a teenager returns to the village with his son."
2025-08-24,"AN INSIDE JOB","Daniel Silva","Harper.","Fiction",8,13,4,"8       AN INSIDE JOB, by Daniel Silva. (Harper.) The 25th book in the Gabriel Allon              13       4 series. The art world, the mob and the Vatican intersect when a Leonardo da Vinci painting goes missing."
2025-08-24,"THE WEDDING PEOPLE","Alison Espach","Holt.","Fiction",9,11,36,"9       THE WEDDING PEOPLE, by Alison Espach. (Holt.) A woman who is down on her                  11       36 luck forms an unexpected bond with the bride at a wedding in Rhode Island."
2025-08-24,"THE HAMPTONS LAWYER","James Patterson and Mike Lupica","Little, Brown.","Fiction",10,9,3,"10       THE HAMPTONS LAWYER, by James Patterson and Mike Lupica. (Little, Brown.)                 9        3 The third book in the Jane Smith thriller series. Taking on a celebrity client proves dangerous."
2025-08-24,"JAMES","Percival Everett","Doubleday.","Fiction",11,NA,51,"11       JAMES, by Percival Everett. (Doubleday.) A reimagining of “Adventures of                  --       51 Huckleberry Finn” shines a different light on Mark Twain's classic, revealing new facets of the character of Jim."
2025-08-24,"GREAT BIG BEAUTIFUL LIFE","Emily Henry","Berkley.","Fiction",12,15,16,"12       GREAT BIG BEAUTIFUL LIFE, by Emily Henry. (Berkley.) A writer looking for her             15       16 big break competes against a Pulitzer winner to tell the story of an octogenarian with a storied past."
2025-08-24,"NEVER FLINCH","Stephen King","Scribner.","Fiction",13,8,11,"13       NEVER FLINCH, by Stephen King. (Scribner.) Holly Gibney does double duty by               8        11 helping head off acts of retribution and protecting a women’s rights activist."
2025-08-24,"THE ENCHANTED GREENHOUSE","Sarah Beth Durst","Bramble.","Fiction",14,14,4,"14       THE ENCHANTED GREENHOUSE, by Sarah Beth Durst. (Bramble.) In this novel                   14       4 set in the world of “The Spellshop,” Terlu Perna must figure out a sorcerer’s secrets to save an island containing magical greenhouses."
2025-08-24,"DUNGEON CRAWLER CARL","Matt Dinniman","Ace.","Fiction",15,NA,2,"15       DUNGEON CRAWLER CARL, by Matt Dinniman. (Ace.) A Coast Guard vet named                    --       2 Carl and his ex-girlfriend’s cat, Princess Donut, are trapped in a fantasy dungeon. Hawes Publications                                                                                     www.hawes.com"
2025-08-24,"COMING UP SHORT","Robert B Reich","Knopf.","Nonfiction",1,NA,1,"1       COMING UP SHORT, by Robert B. Reich. (Knopf.) An economist who served in               --           1 three presidential administrations gives his perspective on his generation’s impact on democracy, society and the economy."
